title,author,description,publishedDate,categories,pageCount,averageRating
The Alloy of Law,Brandon Sanderson,"From #1 New York Times bestselling author Brandon Sanderson, the Mistborn series is a heist story of political intrigue and magical, martial-arts action. Three hundred years after the events of the Mistborn trilogy, Scadrial is now on the verge of modernity, with railroads to supplement the canals, electric lighting in the streets and the homes of the wealthy, and the first steel-framed skyscrapers racing for the clouds. Kelsier, Vin, Elend, Sazed, Spook, and the rest are now part of history--or religion. Yet even as science and technology are reaching new heights, the old magics of Allomancy and Feruchemy continue to play a role in this reborn world. Out in the frontier lands known as the Roughs, they are crucial tools for the brave men and women attempting to establish order and justice. One such is Waxillium Ladrian, a rare Twinborn, who can Push on metals with his Allomancy and use Feruchemy to become lighter or heavier at will. After twenty years in the Roughs, Wax has been forced by family tragedy to return to the metropolis of Elendel. Now he must reluctantly put away his guns and assume the duties and dignity incumbent upon the head of a noble house. Or so he thinks, until he learns the hard way that the mansions and elegant tree-lined streets of the city can be even more dangerous than the dusty plains of the Roughs. Other Tor books by Brandon Sanderson The Cosmere The Stormlight Archive The Way of Kings Words of Radiance Edgedancer (Novella) Oathbringer The Mistborn trilogy Mistborn: The Final Empire The Well of Ascension The Hero of Ages Mistborn: The Wax and Wayne series Alloy of Law Shadows of Self Bands of Mourning Collection Arcanum Unbounded Other Cosmere novels Elantris Warbreaker The Alcatraz vs. the Evil Librarians series Alcatraz vs. the Evil Librarians The Scrivener's Bones The Knights of Crystallia The Shattered Lens The Dark Talent The Rithmatist series The Rithmatist Other books by Brandon Sanderson The Reckoners Steelheart Firefight Calamity",2012-10-30,['Fiction'],420.0,0.0
Shadows of Self,Brandon Sanderson,"From #1 New York Times bestselling author Brandon Sanderson, the Mistborn series is a heist story of political intrigue and magical, martial-arts action. Three hundred years after the events of the Mistborn trilogy, Scadrial is now on the verge of modernity, with railroads to supplement the canals, electric lighting in the streets and the homes of the wealthy, and the first steel-framed skyscrapers racing for the clouds. When family obligations forced Waxillium Ladrian to forsake the frontier lands and return to the metropolis of his birth to take his place as head of a noble House, he little imagined that the crime-fighting skills acquired during twenty years in the dusty plains would be just as applicable in the big city. He soon learned that there too, just being a talented Twinborn — one who can use both Allomancy and Feruchemy, the dominant magical modes on Scadrial — would not suffice. This bustling, optimistic, but still shaky society will now face its first test by terrorism and assassination, crimes intended to stir up labor strife and religious conflict. Wax, his eccentric sidekick Wayne, and brilliant, beautiful young Marasi, now officially part of the constabulary, must unravel the conspiracy before civil strife can stop Scadrial’s progress in its tracks. Other Tor books by Brandon Sanderson The Cosmere The Stormlight Archive The Way of Kings Words of Radiance Edgedancer (Novella) Oathbringer The Mistborn trilogy Mistborn: The Final Empire The Well of Ascension The Hero of Ages Mistborn: The Wax and Wayne series Alloy of Law Shadows of Self Bands of Mourning Collection Arcanum Unbounded Other Cosmere novels Elantris Warbreaker The Alcatraz vs. the Evil Librarians series Alcatraz vs. the Evil Librarians The Scrivener's Bones The Knights of Crystallia The Shattered Lens The Dark Talent The Rithmatist series The Rithmatist Other books by Brandon Sanderson The Reckoners Steelheart Firefight Calamity At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",2015-10-06,['Fiction'],381.0,0.0
The Bands of Mourning,Brandon Sanderson,"With The Alloy of Law and Shadows of Self, Brandon Sanderson surprised readers with a New York Timesbestselling spinoff of his Mistborn books, set after the action of the trilogy, in a period corresponding to late 19th-century America.",2016-01-26,['Fiction'],448.0,0.0
The Lost Metal,Brandon Sanderson,"Return to #1 New York Times bestseller Brandon Sanderson’s Mistborn world of Scadrial as its second era, which began with The Alloy of Law, comes to its earth-shattering conclusion in The Lost Metal. For years, frontier lawman turned big-city senator Waxillium Ladrian has hunted the shadowy organization the Set—with his late uncle and his sister among their leaders—since they started kidnapping people with the power of Allomancy in their bloodlines. When Detective Marasi Colms and her partner Wayne find stockpiled weapons bound for the Outer City of Bilming, this opens a new lead. Conflict between Elendel and the Outer Cities only favors the Set, and their tendrils now reach to the Elendel Senate—whose corruption Wax and Steris have sought to expose—and Bilming is even more entangled. After Wax discovers a new type of explosive that can unleash unprecedented destruction and realizes that the Set must already have it, an immortal kandra serving Scadrial’s god, Harmony, reveals that Bilming has fallen under the influence of another god: Trell, worshipped by the Set. And Trell isn’t the only factor at play from the larger Cosmere—Marasi is recruited by offworlders with strange abilities who claim their goal is to protect Scadrial...at any cost. Wax must choose whether to set aside his rocky relationship with God and once again become the Sword that Harmony has groomed him to be. If no one steps forward to be the hero Scadrial needs, the planet and its millions of people will come to a sudden and calamitous ruin. Other Tor books by Brandon Sanderson The Cosmere The Stormlight Archive The Way of Kings Words of Radiance Edgedancer (novella) Oathbringer Dawnshard (novella) Rhythm of War The Mistborn Saga The Original Trilogy Mistborn The Well of Ascension The Hero of Ages Wax and Wayne The Alloy of Law Shadows of Self The Bands of Mourning The Lost Metal Other Cosmere novels Elantris Warbreaker Tress of the Emerald Sea Yumi and the Nightmare Painter The Sunlit Man Collection Arcanum Unbounded: The Cosmere Collection The Alcatraz vs. the Evil Librarians series Alcatraz vs. the Evil Librarians The Scrivener's Bones The Knights of Crystallia The Shattered Lens The Dark Talent Bastille vs. the Evil Librarians (with Janci Patterson) Other novels The Rithmatist Legion: The Many Lives of Stephen Leeds The Frugal Wizard’s Handbook for Surviving Medieval England Other books by Brandon Sanderson The Reckoners Steelheart Firefight Calamity Skyward Skyward Starsight Cytonic Skyward Flight (with Janci Patterson) Defiant At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",2022-11-15,['Fiction'],544.0,0.0
The Way of Kings,Brandon Sanderson,"""The war with the Parshendi moves into a new, dangerous phase, as Dalinar leads the human armies deep into the heart of the Shattered Plains. Meanwhile Shallan searches for the legendary city of Urithuru, and Kaladin, leader of the restored Knights Radiant, masters the powers of a Windrunner.""--Publisher's description.",2014-03-04,['Fiction'],1088.0,5.0
Words of Radiance,Brandon Sanderson,"""The war with the Parshendi moves into a new, dangerous phase, as Dalinar leads the human armies deep into the heart of the Shattered Plains. Meanwhile Shallan searches for the legendary city of Urithuru, and Kaladin, leader of the restored Knights Radiant, masters the powers of a Windrunner.""--Publisher's description.",2014-03-04,['Fiction'],1088.0,5.0
Rhythm of War,Brandon Sanderson,"An instant #1 New York Times Bestseller and a USA Today and Indie Bestseller! The Stormlight Archive saga continues in Rhythm of War, the eagerly awaited sequel to Brandon Sanderson's #1 New York Times bestselling Oathbringer, from an epic fantasy writer at the top of his game. After forming a coalition of human resistance against the enemy invasion, Dalinar Kholin and his Knights Radiant have spent a year fighting a protracted, brutal war. Neither side has gained an advantage, and the threat of a betrayal by Dalinar’s crafty ally Taravangian looms over every strategic move. Now, as new technological discoveries by Navani Kholin’s scholars begin to change the face of the war, the enemy prepares a bold and dangerous operation. The arms race that follows will challenge the very core of the Radiant ideals, and potentially reveal the secrets of the ancient tower that was once the heart of their strength. At the same time that Kaladin Stormblessed must come to grips with his changing role within the Knights Radiant, his Windrunners face their own problem: As more and more deadly enemy Fused awaken to wage war, no more honorspren are willing to bond with humans to increase the number of Radiants. Adolin and Shallan must lead the coalition’s envoy to the honorspren stronghold of Lasting Integrity and either convince the spren to join the cause against the evil god Odium, or personally face the storm of failure. Other Tor books by Brandon Sanderson The Cosmere The Stormlight Archive ● The Way of Kings ● Words of Radiance ● Edgedancer (novella) ● Oathbringer ● Dawnshard (novella) ● Rhythm of War The Mistborn Saga The Original Trilogy ● Mistborn ● The Well of Ascension ● The Hero of Ages Wax and Wayne ● The Alloy of Law ● Shadows of Self ● The Bands of Mourning ● The Lost Metal Other Cosmere novels ● Elantris ● Warbreaker ● Tress of the Emerald Sea ● Yumi and the Nightmare Painter ● The Sunlit Man Collection ● Arcanum Unbounded: The Cosmere Collection The Alcatraz vs. the Evil Librarians series ● Alcatraz vs. the Evil Librarians ● The Scrivener's Bones ● The Knights of Crystallia ● The Shattered Lens ● The Dark Talent ● Bastille vs. the Evil Librarians (with Janci Patterson) Other novels ● The Rithmatist ● Legion: The Many Lives of Stephen Leeds ● The Frugal Wizard’s Handbook for Surviving Medieval England Other books by Brandon Sanderson The Reckoners ● Steelheart ● Firefight ● Calamity Skyward ● Skyward ● Starsight ● Cytonic ● Skyward Flight (with Janci Patterson) ● Defiant At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",2020-11-17,['Fiction'],1343.0,5.0
Dawnshard,Brandon Sanderson,"From Brandon Sanderson—author of the #1 New York Times bestselling Stormlight Archive and its fourth massive installment, Rhythm of War—comes a new hefty novella, Dawnshard. Taking place between Oathbringer and Rhythm of War, this tale (like Edgedancer before it) gives often-overshadowed characters their own chance to shine. When a ghost ship is discovered, its crew presumed dead after trying to reach the storm-shrouded island Akinah, Navani Kholin must send an expedition to make sure the island hasn't fallen into enemy hands. Knights Radiant who fly too near find their Stormlight suddenly drained, so the voyage must be by sea. Shipowner Rysn Ftori lost the use of her legs but gained the companionship of Chiri-Chiri, a Stormlight-ingesting winged larkin, a species once thought extinct. Now Rysn's pet is ill, and any hope for Chiri-Chiri’s recovery can be found only at the ancestral home of the larkin: Akinah. With the help of Lopen, the formerly one-armed Windrunner, Rysn must accept Navani's quest and sail into the perilous storm from which no one has returned alive. If the crew cannot uncover the secrets of the hidden island city before the wrath of its ancient guardians falls upon them, the fate of Roshar and the entire Cosmere hangs in the balance.",2020-11-10,['Fiction'],210.0,5.0
Edgedancer,Brandon Sanderson,"From #1 New York Times bestselling author Brandon Sanderson, a special gift edition of Edgedancer, a short novel of the Stormlight Archive (previously published in Arcanum Unbounded). Three years ago, Lift asked a goddess to stop her from growing older--a wish she believed was granted. Now, in Edgedancer, the barely teenage nascent Knight Radiant finds that time stands still for no one. Although the young Azish emperor granted her safe haven from an executioner she knows only as Darkness, court life is suffocating the free-spirited Lift, who can't help heading to Yeddaw when she hears the relentless Darkness is there hunting people like her with budding powers. The downtrodden in Yeddaw have no champion, and Lift knows she must seize this awesome responsibility. Other Tor books by Brandon Sanderson The Cosmere The Stormlight Archive The Way of Kings Words of Radiance Edgedancer (Novella) Oathbringer The Mistborn trilogy Mistborn: The Final Empire The Well of Ascension The Hero of Ages Mistborn: The Wax and Wayne series Alloy of Law Shadows of Self Bands of Mourning Collection Arcanum Unbounded Other Cosmere novels Elantris Warbreaker The Alcatraz vs. the Evil Librarians series Alcatraz vs. the Evil Librarians The Scrivener's Bones The Knights of Crystallia The Shattered Lens The Dark Talent The Rithmatist series The Rithmatist Other books by Brandon Sanderson The Reckoners Steelheart Firefight Calamity At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",2017-10-17,['Fiction'],189.0,0.0
Warbreaker,Brandon Sanderson,"From the author of the connected universe of the Cosmere comes the standalone novel from which spring characters who later play roles in the #1 New York Times bestselling Stormlight Archive. In the world of Warbreaker, each person is born endowed with the power of one Breath―which can be sold and collected by others, then used to Awaken objects and even corpses to do their bidding. A few individuals who die in glory return as gods, with the power of thousands of Breath, but no memory of their mortal lives―and are enthroned in the Court of Gods in Hallandren’s capital. To Vivenna and Siri, princesses of Idris, the abuse of Breath and the claim of the Returned to be gods are repugnant blasphemy. But with one princess wed to the God King of their nation’s enemies in a bid for peace, the other finds she must rely on Breath-using mercenaries to try to rescue her sister from her monstrous husband. Lightsong the Bold, a lesser god who doubts his own religion, starts investigating mysterious murders in the Court of Gods and uncovers haunting clues to his own forgotten past. He is one of four gods who controls the army of Awakened Lifeless soldiers, and one faction is inciting an invasion of Idris despite the marriage treaty. Vasher―wielder of the sapient sword Nightblood―works behind the scenes against the declaration of war, but Lightsong’s visions of bloodshed prophesy its inevitability. Can the new queen, unaware of her sister’s imminent rescue attempt, persuade Lightsong and also somehow get through to the aloof God King―who she has been forbidden to speak to or even look in the eyes―before her homeland is destroyed? Other Tor books by Brandon Sanderson The Cosmere The Stormlight Archive ● The Way of Kings ● Words of Radiance ● Edgedancer (novella) ● Oathbringer ● Dawnshard (novella) ● Rhythm of War The Mistborn Saga The Original Trilogy ● Mistborn ● The Well of Ascension ● The Hero of Ages Wax & Wayne ● The Alloy of Law ● Shadows of Self ● The Bands of Mourning ● The Lost Metal Other Cosmere novels ● Elantris ● Warbreaker ● Tress of the Emerald Sea ● Yumi and the Nightmare Painter ● The Sunlit Man Collection ● Arcanum Unbounded: The Cosmere Collection Alcatraz vs. the Evil Librarians ● Alcatraz vs. the Evil Librarians ● The Scrivener's Bones ● The Knights of Crystallia ● The Shattered Lens ● The Dark Talent ● Bastille vs. the Evil Librarians (with Janci Patterson) Other novels ● The Rithmatist ● Legion: The Many Lives of Stephen Leeds ● The Frugal Wizard’s Handbook for Surviving Medieval England Other books by Brandon Sanderson The Reckoners ● Steelheart ● Firefight ● Calamity ● Lux (with Steven Michael Bohls) Skyward ● Skyward ● Starsight ● Cytonic ● Skyward Flight (with Janci Patterson) ● Defiant At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",2009-06-09,['Fiction'],692.0,4.0
Elantris,Brandon Sanderson,Fantasy roman.,2005-05,['Fiction'],508.0,4.5
The Soulkeepers,G.P. Ching,"Sometimes the end is just the beginning! Book 1 of 6 in the bestselling Soulkeepers Series. When fifteen-year-old Jacob Lau is pulled from the crumpled remains of his mother's car, no one can explain why he was driving or why the police can't find his mother's body. Made a ward of his uncle and thousands of miles from home, Jacob meets a beautiful and mysterious neighbor, Dr. Abigail Silva, who offers to use her unique abilities to help him find his mom. In exchange, she requires Jacob to train as a Soulkeeper, a gifted warrior charged with protecting human souls. He agrees to her demands, desperate for any clue to the mystery of his mother's disappearance. But soon Jacob finds himself trapped in a web of half-truths and questions Dr. Silva's motives for helping him. Don't miss the other books in The Soulkeepers Series! Weaving Destiny (Book 2) Return to Eden (Book 3) Soul Catcher (Book 4) Lost Eden (Book 5) The Last Soulkeeper (Book 6) Soulkeepers Reborn Wager's Price (Soulkeepers Reborn Book 1) Hope's Promise (Soulkeepers Reborn Book 2) Lucifer's Pride (Soulkeepers Reborn Book 3) Read the bestselling novel that readers call an utterly spellbinding, elaborate and spectacularly written adventure! ""5 stars. An utterly spellbinding, elaborate and spectacularly written adventure. From its very first words - ""Death lived up to Jacob's expectations"" - the story will pull readers in and take them on an adventure as Jacob discovers abilities he never knew he had and tries to uncover the truth about his mother's whereabouts."" -- Fiktshun Reviews An astounding book. The concept of the storyline was genius. Every line, every word felt well-thought out and meaningful. -- Andrea Thompson, Book Blogger Fantastic read, no matter how old you are. Does it matter that I bought The Soulkeepers for my children and I wound up loving it myself? No. No matter how old you are, you will love this book. – C. Webster, Kindle Reviewer One of those rare stories that seizes your attention from the start and never lets it go. I would highly recommend The Soulkeepers. It has everything a reader could ever want."" – That Bookish girl Book Blog * * * * * Topics: Teen books, young adult paranormal fantasy series, young adult angel books, teen books for boys, teen religious fantasy, Young adult contemporary fantasy series, young adult fantasy romance series, first in series free, young adult contemporary fantasy series, magical realism, angels, devils & demons, action, adventure, teen, superhero, paranormal, fantasy, contemporary fantasy, horror, YA, young adult, mystery, romance, thriller, multicultural, multigenerational, free, series, teen, young adult, religious, contemporary, sword and sorcery, inspirational, free series starter, G.P. Ching, GP Ching, G. P. Ching Perfect for fans of: Stephenie Meyer, Sarra Cannon, Aaron Patterson, Brent Weeks, L.G. Castillo, JK Rowling, Cassandra Clare, Lauren Kate, and Becca Fitzpatrick",2014-04-10,['Fiction'],181.0,4.0
Weaving Destiny,G.P. Ching,"Destiny is a fabric woven from our choices. Choose wisely. Book 2 of 6 in the bestselling Soulkeepers Series. Malini Gupta thought Jacob Lau was her destiny. But after months of failing to decipher how she fits into the Soulkeepers, frustration threatens to tear their relationship apart. And it doesn't help that a new Soulkeeper named Mara is ready to stop time itself to earn Jacob's love. When Malini faces her worst fears, and even death, she learns a funny thing about destiny. Fate is a tapestry of choices, and she has the power to weave hers. Don't miss these other books in The Soulkeepers Series! Return to Eden, Book3 Soul Catcher, Book 4 Lost Eden, Book 5 The Last Soulkeeper, Book 6 Get your copy of the book readers say ""gets more interesting with every chapter!"" Just keeps getting more interesting with each chapter. The characters more intriguing and lovable. –R. Rhinehart If you enjoy fantasy and the eternal battle between Good and Evil, you will love this book as well as the entire series. -M. Block This is the kind of tale I could see being made into a TV series... one I would never want to miss. – E. Claire * * * Topics: Teen books, young adult paranormal fantasy series, young adult angel books, teen books for boys, teen religious fantasy, Young adult contemporary fantasy series, young adult fantasy romance series, first in series free, young adult contemporary fantasy series, magical realism, angels, devils & demons, action, adventure, teen, superhero, paranormal, fantasy, contemporary fantasy, horror, YA, young adult, mystery, romance, thriller, multicultural, multigenerational, free, series, teen, young adult, religious, contemporary, sword and sorcery, inspirational, free series starter, G.P. Ching, GP Ching, G. P. Ching Perfect for fans of: Stephenie Meyer, Sarra Cannon, Aaron Patterson, Brent Weeks, L.G. Castillo, JK Rowling, Cassandra Clare, Lauren Kate, and Becca Fitzpatrick",2014-05-21,['Fiction'],271.0,0.0
Return to Eden,G.P. Ching,"When your soul is the devil's due, redemption ain't what it used to be. Book 3 of 6 in the bestselling Soulkeepers Series. Dr. Abigail Silva has waited over 10,000 years for redemption and a chance at a real relationship with the angel she loves. But when you're made from evil itself, it's hard to remember if salvation is worth the wait. With Lucifer's plan coming to fruition, she must decide if God's offer of humanity is all it's cracked up to be, or if a deal with the devil is the more promising solution. Don't miss these other books in The Soulkeepers Series! The Soulkeepers (Book 1) Weaving Destiny (Book 2) Soul Catcher (Book 4) Lost Eden (Book 5) The Last Soulkeeper (Book 6) Get the bestselling series that readers call ""Amazing. A must read for all ages!"" Classic story of good versus evil with kickass, love-to-hate, and inspiring characters who evolve with every story, making you wanna root for them when they are doing badass stuff, and cry with them when they go through periods of loss. The story is a web of events that ultimately all lead to one thing: who are you loyal to? The light? Or the darkness?? - M. Clem A read that kept me turning the pages and I was sad when it was finished. - Author Karly Kirkpatrick Doesn't disappoint! I ended up pulling an all nighter because there was no point in the book at which you can put it down. - Austin * * * Topics: Teen books, young adult paranormal fantasy series, young adult angel books, teen books for boys, teen religious fantasy, Young adult contemporary fantasy series, young adult fantasy romance series, first in series free, young adult contemporary fantasy series, magical realism, angels, devils & demons, action, adventure, teen, superhero, paranormal, fantasy, contemporary fantasy, horror, YA, young adult, mystery, romance, thriller, multicultural, multigenerational, free, series, teen, young adult, religious, contemporary, sword and sorcery, inspirational, free series starter, G.P. Ching, GP Ching, G. P. Ching Perfect for fans of: Stephenie Meyer, Sarra Cannon, Aaron Patterson, Brent Weeks, L.G. Castillo, JK Rowling, Cassandra Clare, Lauren Kate, and Becca Fitzpatrick",2014-05-27,['Fiction'],290.0,0.0
Soul Catcher,G.P. Ching,"A murder. A mission. A mystery. Book 4 in the bestselling Soulkeepers Series. Dane Michaels has been to Hell and back and isn't interested in repeating the experience. But as a human caught up in the Soulkeeper's world, his life isn't exactly his own. No one can explain why Dane was allowed through the gates of Eden, but it's changed everything. Now, the only one who can make him feel safe is Ethan, the telekinetic Soulkeeper with a dark past and a heart of gold. When Malini asks Dane to be part of a mission to find the last Soulkeeper, Cheveyo, more than one team member thinks she's tempting Fate. But Malini suspects Fate has had a hand in Dane's life for some time and that he could be the key to unraveling Lucifer's latest plan of attack. Don't miss these other books in The Soulkeepers Series! The Soulkeepers (Book 1) Weaving Destiny (Book 2) Return to Eden (Book 3) Lost Eden (Book 5) The Last Soulkeeper (Book 6) Read the bestselling series that readers call bold, brilliant, and brave! Had me on the edge of my seat! Each book in this series gets better and better. P. Givens Smartly complex and refreshing, while still being relatable and believable. -Aeicha, Book Blogger It's a story about inclusiveness and love; trial and hardship; evil and redemption; and finding the balance between heart and head with integrity and moral fiber. -J. D. Self * * * Topics: Teen books, young adult paranormal fantasy series, young adult angel books, teen books for boys, teen religious fantasy, Young adult contemporary fantasy series, young adult fantasy romance series, first in series free, young adult contemporary fantasy series, magical realism, angels, devils & demons, action, adventure, teen, superhero, paranormal, fantasy, contemporary fantasy, horror, YA, young adult, mystery, romance, thriller, multicultural, multigenerational, free, series, teen, young adult, religious, contemporary, sword and sorcery, inspirational, free series starter, LGBT Perfect for fans of: Stephenie Meyer, Sarra Cannon, Aaron Patterson, Brent Weeks, L.G. Castillo, JK Rowling, Cassandra Clare, Lauren Kate, and Becca Fitzpatrick",2013-03-13,['Fiction'],304.0,0.0
